Project Name,Package Name,Type Name,MethodName,LOC,CC,PC
forkassn3,de.hysky.skyblocker.config.datafixer,ConfigDataFixerTest,setupEnvironment,4,1,0
forkassn3,de.hysky.skyblocker.config.datafixer,ConfigDataFixerTest,testDataFixer1,5,1,0
forkassn3,de.hysky.skyblocker.config.datafixer,ConfigDataFixerTest,testDataFixer2QuickNav,5,1,0
forkassn3,de.hysky.skyblocker.config.datafixer,ConfigFix2QuickNav,ConfigFix2QuickNav,3,1,2
forkassn3,de.hysky.skyblocker.config.datafixer,ConfigFix2QuickNav,makeRule,3,1,0
forkassn3,de.hysky.skyblocker.config.datafixer,ConfigFix2QuickNav,fix,3,1,1
forkassn3,de.hysky.skyblocker.config.datafixer,ConfigFix2QuickNav,fixButton,3,1,1
forkassn3,de.hysky.skyblocker.config.datafixer,ConfigDataFix,ConfigDataFix,3,1,2
forkassn3,de.hysky.skyblocker.config.datafixer,ConfigDataFix,fixVersion,3,1,1
forkassn3,de.hysky.skyblocker.config.datafixer,ConfigSchema,ConfigSchema,3,1,2
forkassn3,de.hysky.skyblocker.config.datafixer,ConfigSchema,registerTypes,3,1,3
forkassn3,de.hysky.skyblocker.config.datafixer,ConfigSchema,registerEntities,3,1,1
forkassn3,de.hysky.skyblocker.config.datafixer,ConfigSchema,registerBlockEntities,3,1,1
forkassn3,de.hysky.skyblocker.config.datafixer,ConfigDataFixer,apply,3,1,0
forkassn3,de.hysky.skyblocker.config.datafixer,ConfigDataFixer,apply,10,4,2
forkassn3,de.hysky.skyblocker.config.datafixer,ConfigDataFixer,apply,3,1,1
forkassn3,de.hysky.skyblocker.config.datafixer,ConfigDataFixer,apply,7,1,2
forkassn3,de.hysky.skyblocker.config.datafixer,ConfigDataFixer,build,9,1,0
forkassn3,de.hysky.skyblocker.config.datafixer,ConfigDataFixer,loadConfig,9,1,1
forkassn3,de.hysky.skyblocker.config.datafixer,ConfigDataFixer,writeConfig,10,1,2
forkassn3,de.hysky.skyblocker.config.datafixer,ConfigFix1,ConfigFix1,3,1,2
forkassn3,de.hysky.skyblocker.config.datafixer,ConfigFix1,makeRule,3,1,0
forkassn3,de.hysky.skyblocker.config.datafixer,ConfigFix1,fix,3,1,1
forkassn3,de.hysky.skyblocker.config.datafixer,ConfigFix1,fixGeneral,3,1,1
forkassn3,de.hysky.skyblocker.config.datafixer,ConfigFix1,fixUIAndVisuals,4,1,1
forkassn3,de.hysky.skyblocker.config.datafixer,ConfigFix1,fixHelpers,4,1,1
forkassn3,de.hysky.skyblocker.config.datafixer,ConfigFix1,fixDungeons,5,1,1
forkassn3,de.hysky.skyblocker.config.datafixer,ConfigFix1,fixCrimsonIsle,3,1,1
forkassn3,de.hysky.skyblocker.config.datafixer,ConfigFix1,fixMining,4,1,1
forkassn3,de.hysky.skyblocker.config.datafixer,ConfigFix1,fixFarming,3,1,1
forkassn3,de.hysky.skyblocker.config.datafixer,ConfigFix1,fixOtherLocations,3,1,1
forkassn3,de.hysky.skyblocker.config.datafixer,ConfigFix1,fixSlayers,3,1,1
forkassn3,de.hysky.skyblocker.config.datafixer,ConfigFix1,fixChat,3,1,1
forkassn3,de.hysky.skyblocker.config.datafixer,ConfigFix1,fixQuickNav,3,1,1
forkassn3,de.hysky.skyblocker.config.datafixer,ConfigFix1,fixQuickNavButton,3,1,1
forkassn3,de.hysky.skyblocker.config.datafixer,ConfigFix1,fixNbt,14,2,2
forkassn3,de.hysky.skyblocker.config.datafixer,ConfigFix1,fixMisc,3,1,1
forkassn3,de.hysky.skyblocker.utils,RomanNumeralsTest,testToRoman,12,2,0
forkassn3,de.hysky.skyblocker.utils,RomanNumeralsTest,isValidRoman,12,1,0
forkassn3,de.hysky.skyblocker.utils,ConstantsTest,testPrefix,6,2,0
forkassn3,de.hysky.skyblocker.utils,CalculatorTest,testShorthands,6,1,0
forkassn3,de.hysky.skyblocker.utils,CalculatorTest,testPrecedence,5,1,0
forkassn3,de.hysky.skyblocker.utils,CalculatorTest,testImplicitMultiplication,3,1,0
forkassn3,de.hysky.skyblocker.utils,CalculatorTest,testImplicitClosingParenthesis,3,1,0
forkassn3,de.hysky.skyblocker.utils,InstancedUtilsTest,testSameInstanceEqual,4,1,0
forkassn3,de.hysky.skyblocker.utils,InstancedUtilsTest,testSameFieldValuesEqual,5,1,0
forkassn3,de.hysky.skyblocker.utils,InstancedUtilsTest,testDifferentFieldValuesEqual,5,1,0
forkassn3,de.hysky.skyblocker.utils,InstancedUtilsTest,testHashCodeOfEqualFieldValues,5,1,0
forkassn3,de.hysky.skyblocker.utils,InstancedUtilsTest,testHashCodeOfDifferentFieldValues,5,1,0
forkassn3,de.hysky.skyblocker.utils,InstancedUtilsTest,testToString,4,1,0
forkassn3,de.hysky.skyblocker.utils,InstancedUtilsTest,Vector3i,5,1,3
forkassn3,de.hysky.skyblocker.utils,InstancedUtilsTest,equals,8,1,1
forkassn3,de.hysky.skyblocker.utils,InstancedUtilsTest,hashCode,8,1,0
forkassn3,de.hysky.skyblocker.utils,InstancedUtilsTest,toString,8,1,0
forkassn3,de.hysky.skyblocker.utils,Vector3i,Vector3i,5,1,3
forkassn3,de.hysky.skyblocker.utils,Vector3i,equals,8,1,1
forkassn3,de.hysky.skyblocker.utils,Vector3i,hashCode,8,1,0
forkassn3,de.hysky.skyblocker.utils,Vector3i,toString,8,1,0
forkassn3,de.hysky.skyblocker.utils,PosUtilsTest,testParsePosString,3,1,0
forkassn3,de.hysky.skyblocker.utils,PosUtilsTest,testParsePosJson,3,1,0
forkassn3,de.hysky.skyblocker.utils,PosUtilsTest,testGetPosString,3,1,0
forkassn3,de.hysky.skyblocker.utils,ItemUtilsTest,setup,5,1,0
forkassn3,de.hysky.skyblocker.utils,ItemUtilsTest,testGetCustomData,5,1,0
forkassn3,de.hysky.skyblocker.utils,ItemUtilsTest,testGetItemId,5,1,0
forkassn3,de.hysky.skyblocker.utils,ItemUtilsTest,testGetItemUuid,5,1,0
forkassn3,de.hysky.skyblocker.utils,ItemUtilsTest,testGetTimestamp,6,1,0
forkassn3,de.hysky.skyblocker.utils,ItemUtilsTest,testGetDurability,6,1,0
forkassn3,de.hysky.skyblocker.utils,ColorUtils,getFloatComponents,3,1,1
forkassn3,de.hysky.skyblocker.utils,ColorUtils,getFloatComponents,3,1,1
forkassn3,de.hysky.skyblocker.utils,ApiUtils,init,3,1,0
forkassn3,de.hysky.skyblocker.utils,ApiUtils,name2Uuid,3,1,1
forkassn3,de.hysky.skyblocker.utils,ApiUtils,name2Uuid,20,5,2
forkassn3,de.hysky.skyblocker.utils,Resettable,reset,0,1,0
forkassn3,de.hysky.skyblocker.utils,Resettable,onPlayReady,3,1,3
forkassn3,de.hysky.skyblocker.utils,Boxes,getMinVec,3,1,1
forkassn3,de.hysky.skyblocker.utils,Boxes,getMaxVec,3,1,1
forkassn3,de.hysky.skyblocker.utils,Boxes,getLengthVec,3,1,1
forkassn3,de.hysky.skyblocker.utils,Boxes,moveToZero,3,1,1
forkassn3,de.hysky.skyblocker.utils,Boxes,getCornerLength,3,1,1
forkassn3,de.hysky.skyblocker.utils,Boxes,getAxisLength,3,1,2
forkassn3,de.hysky.skyblocker.utils,Boxes,multiply,3,1,2
forkassn3,de.hysky.skyblocker.utils,Boxes,multiply,3,1,4
forkassn3,de.hysky.skyblocker.utils,InstancedUtils,equals,14,2,1
forkassn3,de.hysky.skyblocker.utils,InstancedUtils,hashCode,14,2,1
forkassn3,de.hysky.skyblocker.utils,InstancedUtils,toString,15,2,1
forkassn3,de.hysky.skyblocker.utils,InstancedUtils,getClassFields,3,1,1
forkassn3,de.hysky.skyblocker.utils,InstancedUtils,getFieldGetters,9,2,1
forkassn3,de.hysky.skyblocker.utils,ReconfiguringPlaceholderScreen,ReconfiguringPlaceholderScreen,4,1,1
forkassn3,de.hysky.skyblocker.utils,ReconfiguringPlaceholderScreen,tick,8,2,0
forkassn3,de.hysky.skyblocker.utils,FileUtils,recursiveDelete,22,4,1
forkassn3,de.hysky.skyblocker.utils,FileUtils,normalizePath,3,1,1
forkassn3,de.hysky.skyblocker.utils,ProfileUtils,updateProfileByName,8,1,1
forkassn3,de.hysky.skyblocker.utils,ProfileUtils,fetchFullProfile,22,3,1
forkassn3,de.hysky.skyblocker.utils,JoinWorldPlaceholderScreen,JoinWorldPlaceholderScreen,3,1,0
forkassn3,de.hysky.skyblocker.utils,Utils,isOnHypixel,3,1,0
forkassn3,de.hysky.skyblocker.utils,Utils,isOnSkyblock,3,1,0
forkassn3,de.hysky.skyblocker.utils,Utils,isInDungeons,3,1,0
forkassn3,de.hysky.skyblocker.utils,Utils,isInCrystalHollows,3,1,0
forkassn3,de.hysky.skyblocker.utils,Utils,isInDwarvenMines,3,1,0
forkassn3,de.hysky.skyblocker.utils,Utils,isInTheRift,3,1,0
forkassn3,de.hysky.skyblocker.utils,Utils,isInTheEnd,3,1,0
forkassn3,de.hysky.skyblocker.utils,Utils,isInKuudra,3,1,0
forkassn3,de.hysky.skyblocker.utils,Utils,isInCrimson,3,1,0
forkassn3,de.hysky.skyblocker.utils,Utils,isInModernForagingIsland,3,1,0
forkassn3,de.hysky.skyblocker.utils,Utils,isInjected,3,1,0
forkassn3,de.hysky.skyblocker.utils,Utils,getProfile,3,1,0
forkassn3,de.hysky.skyblocker.utils,Utils,getProfileId,3,1,0
forkassn3,de.hysky.skyblocker.utils,Utils,getLocation,3,1,0
forkassn3,de.hysky.skyblocker.utils,Utils,getServer,3,1,0
forkassn3,de.hysky.skyblocker.utils,Utils,getGameType,3,1,0
forkassn3,de.hysky.skyblocker.utils,Utils,getLocationRaw,3,1,0
forkassn3,de.hysky.skyblocker.utils,Utils,getMap,3,1,0
forkassn3,de.hysky.skyblocker.utils,Utils,getMayor,3,1,0
forkassn3,de.hysky.skyblocker.utils,Utils,init,13,2,0
forkassn3,de.hysky.skyblocker.utils,Utils,update,7,1,0
forkassn3,de.hysky.skyblocker.utils,Utils,updatePlayerPresenceFromScoreboard,35,10,1
forkassn3,de.hysky.skyblocker.utils,Utils,isConnectedToHypixel,5,1,1
forkassn3,de.hysky.skyblocker.utils,Utils,onLeaveSkyblock,6,2,0
forkassn3,de.hysky.skyblocker.utils,Utils,getIslandArea,13,3,0
forkassn3,de.hysky.skyblocker.utils,Utils,getPurse,15,4,0
forkassn3,de.hysky.skyblocker.utils,Utils,getBits,16,4,0
forkassn3,de.hysky.skyblocker.utils,Utils,updateScoreboard,36,7,1
forkassn3,de.hysky.skyblocker.utils,Utils,getDurationText,14,3,1
