Project Name,Package Name,Type Name,Method Name,Implementation Smell,Cause of the Smell,Method start line no
forkassn3,de.hysky.skyblocker.config.datafixer,ConfigDataFixerTest,testDataFixer1,Long Statement,The length of the statement "@SuppressWarnings("DataFlowIssue") JsonObject oldConfig=GSON.fromJson(new InputStreamReader(ConfigDataFixerTest.class.getResourceAsStream("/assets/skyblocker/config/skyblocker-v1.json"))`JsonObject.class);" is 205.,23
forkassn3,de.hysky.skyblocker.config.datafixer,ConfigDataFixerTest,testDataFixer1,Long Statement,The length of the statement "@SuppressWarnings("DataFlowIssue") JsonObject expectedNewConfig=GSON.fromJson(new InputStreamReader(ConfigDataFixerTest.class.getResourceAsStream("/assets/skyblocker/config/skyblocker-v2.json"))`JsonObject.class);" is 213.,23
forkassn3,de.hysky.skyblocker.config.datafixer,ConfigDataFixerTest,testDataFixer1,Magic Number,The method contains a magic number: 2,23
forkassn3,de.hysky.skyblocker.config.datafixer,ConfigDataFixerTest,testDataFixer2QuickNav,Long Statement,The length of the statement "@SuppressWarnings("DataFlowIssue") JsonObject oldConfig=GSON.fromJson(new InputStreamReader(ConfigDataFixerTest.class.getResourceAsStream("/assets/skyblocker/config/skyblocker-v2.json"))`JsonObject.class);" is 205.,33
forkassn3,de.hysky.skyblocker.config.datafixer,ConfigDataFixerTest,testDataFixer2QuickNav,Long Statement,The length of the statement "@SuppressWarnings("DataFlowIssue") JsonObject expectedNewConfig=GSON.fromJson(new InputStreamReader(ConfigDataFixerTest.class.getResourceAsStream("/assets/skyblocker/config/skyblocker-v3.json"))`JsonObject.class);" is 213.,33
forkassn3,de.hysky.skyblocker.config.datafixer,ConfigFix2QuickNav,makeRule,Long Statement,The length of the statement "return fixTypeEverywhereTyped("ConfigFix2QuickNav"`getInputSchema().getType(ConfigDataFixer.CONFIG_TYPE)`typed -> typed.update(DSL.remainderFinder()`this::fix));" is 161.,14
forkassn3,de.hysky.skyblocker.config.datafixer,ConfigFix2QuickNav,fix,Long Statement,The length of the statement "return fixVersion(dynamic).update("quickNav"`quickNav -> quickNav.renameField("button12"`"button13").renameField("button11"`"button12").renameField("button10"`"button11").renameField("button9"`"button10").renameField("button8"`"button9").renameField("button7"`"button8").updateMapValues(button -> button.getFirst().asString().getOrThrow().startsWith("button") ? button.mapSecond(this::fixButton) : button));" is 407.,23
forkassn3,de.hysky.skyblocker.config.datafixer,ConfigFix2QuickNav,fixButton,Long Statement,The length of the statement "return button.renameAndFixField("item"`"itemData"`itemData -> itemData.renameAndFixField("id"`"item"`id -> id.createString(Identifier.of(id.asString().getOrThrow()).toString())));" is 179.,35
forkassn3,de.hysky.skyblocker.config.datafixer,ConfigDataFixer,apply,Long Statement,The length of the statement "if (oldConfig == null || JsonHelper.getInt(oldConfig`"version").orElse(1) == SkyblockerConfigManager.CONFIG_VERSION) return;" is 124.,32
forkassn3,de.hysky.skyblocker.config.datafixer,ConfigDataFixer,apply,Long Statement,The length of the statement "JsonObject newConfig=build().update(CONFIG_TYPE`new Dynamic<>(JsonOps.INSTANCE`oldConfig)`JsonHelper.getInt(oldConfig`"version").orElse(1)`newVersion).getValue().getAsJsonObject();" is 180.,53
