Project Name,Package Name,Type Name,Testability Smell,Cause of the Smell
forkassn3,de.hysky.skyblocker.config.datafixer,ConfigDataFixer,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: CONFIG_TYPE
forkassn3,de.hysky.skyblocker.utils,ProfileUtils,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: LOGGER; players; profiles
forkassn3,de.hysky.skyblocker.utils,Utils,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: PROFILE_ID_PREFIX; TEXT_SCOREBOARD; STRING_SCOREBOARD
forkassn3,de.hysky.skyblocker.utils,ItemUtils,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: ID; UUID; NOT_DURABILITY; FUEL_PREDICATE; EMPTY_ALLOWING_ITEMSTACK_CODEC
forkassn3,de.hysky.skyblocker.utils,NEURepoManager,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: REMOTE_REPO_URL; NEU_REPO
forkassn3,de.hysky.skyblocker.utils,Calculator.Token,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
forkassn3,de.hysky.skyblocker.utils,PosUtils,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: ALT_BLOCK_POS_CODEC
forkassn3,de.hysky.skyblocker.utils,SkyblockTime,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: skyblockYear; skyblockSeason; skyblockMonth; skyblockDay
forkassn3,de.hysky.skyblocker.utils.scheduler,MessageScheduler,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: INSTANCE
forkassn3,de.hysky.skyblocker.utils.scheduler,Scheduler,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: INSTANCE
forkassn3,de.hysky.skyblocker.utils.waypoint,NamedWaypoint,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: CODEC; SKYTILS_CODEC
forkassn3,de.hysky.skyblocker,SkyblockerMod,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: NAMESPACE; SKYBLOCKER_MOD; VERSION; CONFIG_DIR; GSON; GSON_COMPACT
forkassn3,de.hysky.skyblocker,SkyblockerMod,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 67
forkassn3,de.hysky.skyblocker.skyblock.dwarven,CrystalsHud,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: visible
