Project Name,Package Name,Type Name,Code Smell
forkassn3,de.hysky.skyblocker.config.datafixer,ConfigFix2QuickNav,Unutilized Abstraction
forkassn3,de.hysky.skyblocker.config.datafixer,ConfigFix2QuickNav,Broken Hierarchy
forkassn3,de.hysky.skyblocker.config.datafixer,ConfigDataFix,Unutilized Abstraction
forkassn3,de.hysky.skyblocker.config.datafixer,ConfigSchema,Unutilized Abstraction
forkassn3,de.hysky.skyblocker.config.datafixer,ConfigDataFixer,Deficient Encapsulation
forkassn3,de.hysky.skyblocker.config.datafixer,ConfigDataFixer,Cyclic-Dependent Modularization
forkassn3,de.hysky.skyblocker.config.datafixer,ConfigFix1,Unutilized Abstraction
forkassn3,de.hysky.skyblocker.config.datafixer,ConfigFix1,Broken Hierarchy
forkassn3,de.hysky.skyblocker.utils,RomanNumeralsTest,Unutilized Abstraction
forkassn3,de.hysky.skyblocker.utils,ConstantsTest,Unutilized Abstraction
forkassn3,de.hysky.skyblocker.utils,CalculatorTest,Unutilized Abstraction
forkassn3,de.hysky.skyblocker.utils,InstancedUtilsTest,Unutilized Abstraction
forkassn3,de.hysky.skyblocker.utils,PosUtilsTest,Unutilized Abstraction
forkassn3,de.hysky.skyblocker.utils,ItemUtilsTest,Unutilized Abstraction
forkassn3,de.hysky.skyblocker.utils,ApiUtils,Cyclic-Dependent Modularization
forkassn3,de.hysky.skyblocker.utils,Resettable,Unutilized Abstraction
forkassn3,de.hysky.skyblocker.utils,ReconfiguringPlaceholderScreen,Unutilized Abstraction
forkassn3,de.hysky.skyblocker.utils,ReconfiguringPlaceholderScreen,Broken Hierarchy
forkassn3,de.hysky.skyblocker.utils,ProfileUtils,Deficient Encapsulation
forkassn3,de.hysky.skyblocker.utils,ProfileUtils,Cyclic-Dependent Modularization
forkassn3,de.hysky.skyblocker.utils,JoinWorldPlaceholderScreen,Unutilized Abstraction
forkassn3,de.hysky.skyblocker.utils,JoinWorldPlaceholderScreen,Broken Hierarchy
forkassn3,de.hysky.skyblocker.utils,Utils,Deficient Encapsulation
forkassn3,de.hysky.skyblocker.utils,Utils,Cyclic-Dependent Modularization
forkassn3,de.hysky.skyblocker.utils,Utils,Insufficient Modularization
forkassn3,de.hysky.skyblocker.utils,ApiAuthentication,Cyclic-Dependent Modularization
forkassn3,de.hysky.skyblocker.utils,ItemUtils,Deficient Encapsulation
forkassn3,de.hysky.skyblocker.utils,ItemUtils,Cyclic-Dependent Modularization
forkassn3,de.hysky.skyblocker.utils,Tickable,Unutilized Abstraction
forkassn3,de.hysky.skyblocker.utils,BasePlaceholderScreen,Unutilized Abstraction
forkassn3,de.hysky.skyblocker.utils,Http,Cyclic-Dependent Modularization
forkassn3,de.hysky.skyblocker.utils,NEURepoManager,Deficient Encapsulation
forkassn3,de.hysky.skyblocker.utils,NEURepoManager,Cyclic-Dependent Modularization
forkassn3,de.hysky.skyblocker.utils,Calculator,Deficient Encapsulation
forkassn3,de.hysky.skyblocker.utils,Calculator,Cyclic-Dependent Modularization
forkassn3,de.hysky.skyblocker.utils,Token,Unnecessary Abstraction
forkassn3,de.hysky.skyblocker.utils,Token,Deficient Encapsulation
forkassn3,de.hysky.skyblocker.utils,PosUtils,Deficient Encapsulation
forkassn3,de.hysky.skyblocker.utils,SkyblockTime,Deficient Encapsulation
forkassn3,de.hysky.skyblocker.utils,Constants,Broken Modularization
forkassn3,de.hysky.skyblocker.utils.chat,ChatPatternListener,Unutilized Abstraction
forkassn3,de.hysky.skyblocker.utils.chat,ChatPatternListener,Deficient Encapsulation
forkassn3,de.hysky.skyblocker.utils.chat,ChatMessageListener,Cyclic-Dependent Modularization
forkassn3,de.hysky.skyblocker.utils.datafixer,ItemStackComponentizationFixerTest,Unutilized Abstraction
forkassn3,de.hysky.skyblocker.utils.scheduler,SchedulerTest,Imperative Abstraction
forkassn3,de.hysky.skyblocker.utils.scheduler,SchedulerTest,Unutilized Abstraction
forkassn3,de.hysky.skyblocker.utils.scheduler,MessageScheduler,Deficient Encapsulation
forkassn3,de.hysky.skyblocker.utils.scheduler,MessageScheduler,Broken Hierarchy
forkassn3,de.hysky.skyblocker.utils.scheduler,Scheduler,Deficient Encapsulation
forkassn3,de.hysky.skyblocker.utils.waypoint,WaypointTest,Unutilized Abstraction
forkassn3,de.hysky.skyblocker.utils.waypoint,WaypointCategoryTest,Unutilized Abstraction
forkassn3,de.hysky.skyblocker.utils.waypoint,ProfileAwareWaypointTest,Unutilized Abstraction
forkassn3,de.hysky.skyblocker.utils.waypoint,WaypointsTest,Unutilized Abstraction
forkassn3,de.hysky.skyblocker.utils.waypoint,NamedWaypoint,Deficient Encapsulation
forkassn3,de.hysky.skyblocker.utils.waypoint,ProfileAwareWaypoint,Deficient Encapsulation
forkassn3,de.hysky.skyblocker.utils.waypoint,Waypoint,Deficient Encapsulation
forkassn3,de.hysky.skyblocker.utils.waypoint,Waypoint,Insufficient Modularization
forkassn3,de.hysky.skyblocker,MixinsTest,Unutilized Abstraction
