Project Name,Package Name,Type Name,Method Name,Code Smell
forkassn3,de.hysky.skyblocker.config.datafixer,ConfigDataFixerTest,testDataFixer1,Long Statement
forkassn3,de.hysky.skyblocker.config.datafixer,ConfigDataFixerTest,testDataFixer1,Long Statement
forkassn3,de.hysky.skyblocker.config.datafixer,ConfigDataFixerTest,testDataFixer1,Magic Number
forkassn3,de.hysky.skyblocker.config.datafixer,ConfigDataFixerTest,testDataFixer2QuickNav,Long Statement
forkassn3,de.hysky.skyblocker.config.datafixer,ConfigDataFixerTest,testDataFixer2QuickNav,Long Statement
forkassn3,de.hysky.skyblocker.config.datafixer,ConfigFix2QuickNav,makeRule,Long Statement
forkassn3,de.hysky.skyblocker.config.datafixer,ConfigFix2QuickNav,fix,Long Statement
forkassn3,de.hysky.skyblocker.config.datafixer,ConfigFix2QuickNav,fixButton,Long Statement
forkassn3,de.hysky.skyblocker.config.datafixer,ConfigDataFixer,apply,Long Statement
forkassn3,de.hysky.skyblocker.config.datafixer,ConfigDataFixer,apply,Long Statement
forkassn3,de.hysky.skyblocker.config.datafixer,ConfigDataFixer,build,Magic Number
forkassn3,de.hysky.skyblocker.config.datafixer,ConfigDataFixer,build,Magic Number
forkassn3,de.hysky.skyblocker.config.datafixer,ConfigFix1,makeRule,Long Statement
forkassn3,de.hysky.skyblocker.config.datafixer,ConfigFix1,fix,Long Statement
forkassn3,de.hysky.skyblocker.config.datafixer,ConfigFix1,fixGeneral,Long Statement
forkassn3,de.hysky.skyblocker.config.datafixer,ConfigFix1,fixUIAndVisuals,Long Statement
forkassn3,de.hysky.skyblocker.config.datafixer,ConfigFix1,fixHelpers,Long Statement
forkassn3,de.hysky.skyblocker.config.datafixer,ConfigFix1,fixDungeons,Long Statement
forkassn3,de.hysky.skyblocker.config.datafixer,ConfigFix1,fixCrimsonIsle,Long Statement
forkassn3,de.hysky.skyblocker.config.datafixer,ConfigFix1,fixMining,Long Statement
forkassn3,de.hysky.skyblocker.config.datafixer,ConfigFix1,fixFarming,Long Statement
forkassn3,de.hysky.skyblocker.config.datafixer,ConfigFix1,fixQuickNav,Long Statement
forkassn3,de.hysky.skyblocker.config.datafixer,ConfigFix1,fixQuickNavButton,Long Statement
forkassn3,de.hysky.skyblocker.config.datafixer,ConfigFix1,fixNbt,Long Statement
forkassn3,de.hysky.skyblocker.config.datafixer,ConfigFix1,fixNbt,Magic Number
forkassn3,de.hysky.skyblocker.config.datafixer,ConfigFix1,fixMisc,Long Statement
forkassn3,de.hysky.skyblocker.utils,RomanNumeralsTest,testToRoman,Long Statement
forkassn3,de.hysky.skyblocker.utils,RomanNumeralsTest,testToRoman,Magic Number
forkassn3,de.hysky.skyblocker.utils,RomanNumeralsTest,testToRoman,Magic Number
forkassn3,de.hysky.skyblocker.utils,RomanNumeralsTest,testToRoman,Magic Number
forkassn3,de.hysky.skyblocker.utils,RomanNumeralsTest,testToRoman,Magic Number
forkassn3,de.hysky.skyblocker.utils,RomanNumeralsTest,testToRoman,Magic Number
forkassn3,de.hysky.skyblocker.utils,RomanNumeralsTest,testToRoman,Magic Number
forkassn3,de.hysky.skyblocker.utils,RomanNumeralsTest,testToRoman,Magic Number
forkassn3,de.hysky.skyblocker.utils,ConstantsTest,testPrefix,Long Statement
forkassn3,de.hysky.skyblocker.utils,ConstantsTest,testPrefix,Magic Number
forkassn3,de.hysky.skyblocker.utils,CalculatorTest,testShorthands,Magic Number
forkassn3,de.hysky.skyblocker.utils,CalculatorTest,testShorthands,Magic Number
forkassn3,de.hysky.skyblocker.utils,CalculatorTest,testShorthands,Magic Number
forkassn3,de.hysky.skyblocker.utils,CalculatorTest,testShorthands,Magic Number
forkassn3,de.hysky.skyblocker.utils,CalculatorTest,testPrecedence,Magic Number
forkassn3,de.hysky.skyblocker.utils,CalculatorTest,testPrecedence,Magic Number
forkassn3,de.hysky.skyblocker.utils,CalculatorTest,testPrecedence,Magic Number
forkassn3,de.hysky.skyblocker.utils,CalculatorTest,testImplicitMultiplication,Magic Number
forkassn3,de.hysky.skyblocker.utils,CalculatorTest,testImplicitClosingParenthesis,Magic Number
forkassn3,de.hysky.skyblocker.utils,InstancedUtilsTest,testSameInstanceEqual,Magic Number
forkassn3,de.hysky.skyblocker.utils,InstancedUtilsTest,testSameInstanceEqual,Magic Number
forkassn3,de.hysky.skyblocker.utils,InstancedUtilsTest,testSameInstanceEqual,Magic Number
forkassn3,de.hysky.skyblocker.utils,InstancedUtilsTest,testSameFieldValuesEqual,Magic Number
forkassn3,de.hysky.skyblocker.utils,InstancedUtilsTest,testSameFieldValuesEqual,Magic Number
forkassn3,de.hysky.skyblocker.utils,InstancedUtilsTest,testSameFieldValuesEqual,Magic Number
forkassn3,de.hysky.skyblocker.utils,InstancedUtilsTest,testSameFieldValuesEqual,Magic Number
forkassn3,de.hysky.skyblocker.utils,InstancedUtilsTest,testSameFieldValuesEqual,Magic Number
forkassn3,de.hysky.skyblocker.utils,InstancedUtilsTest,testSameFieldValuesEqual,Magic Number
forkassn3,de.hysky.skyblocker.utils,InstancedUtilsTest,testDifferentFieldValuesEqual,Magic Number
forkassn3,de.hysky.skyblocker.utils,InstancedUtilsTest,testDifferentFieldValuesEqual,Magic Number
forkassn3,de.hysky.skyblocker.utils,InstancedUtilsTest,testDifferentFieldValuesEqual,Magic Number
forkassn3,de.hysky.skyblocker.utils,InstancedUtilsTest,testDifferentFieldValuesEqual,Magic Number
forkassn3,de.hysky.skyblocker.utils,InstancedUtilsTest,testDifferentFieldValuesEqual,Magic Number
forkassn3,de.hysky.skyblocker.utils,InstancedUtilsTest,testDifferentFieldValuesEqual,Magic Number
forkassn3,de.hysky.skyblocker.utils,InstancedUtilsTest,testHashCodeOfEqualFieldValues,Magic Number
forkassn3,de.hysky.skyblocker.utils,InstancedUtilsTest,testHashCodeOfEqualFieldValues,Magic Number
forkassn3,de.hysky.skyblocker.utils,InstancedUtilsTest,testHashCodeOfEqualFieldValues,Magic Number
forkassn3,de.hysky.skyblocker.utils,InstancedUtilsTest,testHashCodeOfEqualFieldValues,Magic Number
forkassn3,de.hysky.skyblocker.utils,InstancedUtilsTest,testHashCodeOfEqualFieldValues,Magic Number
forkassn3,de.hysky.skyblocker.utils,InstancedUtilsTest,testHashCodeOfEqualFieldValues,Magic Number
forkassn3,de.hysky.skyblocker.utils,InstancedUtilsTest,testHashCodeOfDifferentFieldValues,Magic Number
forkassn3,de.hysky.skyblocker.utils,InstancedUtilsTest,testHashCodeOfDifferentFieldValues,Magic Number
forkassn3,de.hysky.skyblocker.utils,InstancedUtilsTest,testHashCodeOfDifferentFieldValues,Magic Number
forkassn3,de.hysky.skyblocker.utils,InstancedUtilsTest,testHashCodeOfDifferentFieldValues,Magic Number
forkassn3,de.hysky.skyblocker.utils,InstancedUtilsTest,testHashCodeOfDifferentFieldValues,Magic Number
forkassn3,de.hysky.skyblocker.utils,InstancedUtilsTest,testHashCodeOfDifferentFieldValues,Magic Number
forkassn3,de.hysky.skyblocker.utils,InstancedUtilsTest,testToString,Magic Number
forkassn3,de.hysky.skyblocker.utils,InstancedUtilsTest,testToString,Magic Number
forkassn3,de.hysky.skyblocker.utils,InstancedUtilsTest,testToString,Magic Number
forkassn3,de.hysky.skyblocker.utils,PosUtilsTest,testParsePosJson,Long Statement
