Project Name,Package Name,Type Name,Design Smell,Cause of the Smell
forkassn3,de.hysky.skyblocker.config.datafixer,ConfigFix2QuickNav,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
forkassn3,de.hysky.skyblocker.config.datafixer,ConfigFix2QuickNav,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): ConfigDataFix
forkassn3,de.hysky.skyblocker.config.datafixer,ConfigSchema,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
forkassn3,de.hysky.skyblocker.config.datafixer,ConfigDataFixer,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: LOGGER; CONFIG_DIR; CONFIG_TYPE
forkassn3,de.hysky.skyblocker.config.datafixer,ConfigDataFixer,Cyclically-dependent Modularization,The tool detected the smell in this class because this class participates in a cyclic dependency. The participating classes in the cycle are: SnapshotDebug; RenderHelper; SkyblockerMod; ContainerSolverManager; ContainerSolver; UltrasequencerSolver; HelperConfig; Waypoint; NewYearCakesHelper; SkyblockerConfigManager; SkyblockerConfig; Utils; Http; ApiAuthentication; MuseumItemCache; ItemUtils; TooltipInfoType; ItemTooltip; GeneralConfig; CraftPriceTooltip; NEURepoManager; ItemRepository; ItemStackBuilder; SkyblockCraftingRecipe; ObtainedDateTooltip; StatusBarTracker; ConfigDataFixer; SkyblockerScreen; Tips; ProfileViewerScreen; ProfileViewerPage; SubPageSelectButton; ProfileViewerTextWidget; ProfileViewerUtils; ProfileViewerNavButton; ProfileUtils; ApiUtils; AccessoriesHelper; Waypoints; FairySouls; Relics; MythologicalRitual; EnderNodes; OrderedWaypoints; CustomArmorDyeColors; BackpackPreview; ItemRarityBackgrounds; ItemProtection; FarmingHud; FarmingHudWidget; LowerSensitivity; ChatMessageListener; Shortcuts; ChatRulesHandler; ChatRule; ChatRuleAnnouncementScreen; CalculatorCommand; Calculator; DiscordRPCManager; LividColor; DungeonsConfig; DungeonManager; Room; SecretWaypoint; DungeonEvents; DungeonMapUtils; Debug; DebugRoom; DungeonMap; DungeonScore; PlayerListMgr; FishingHelper; DungeonScoreHUD; Waterboard; PartyFinderScreen; PartyEntryListWidget; PartyEntry; FinderSettingsContainer; OptionDropdownWidget; RangedValueWidget; ChestValue; UIAndVisualsConfig; FireFreezeStaffTimer; GuardianHealth; TheRift; TheEnd; EndHudWidget; SearchOverManager; TitleContainer; ScreenMaster; ScreenBuilder; Widget; PlayerLocator; DungeonTextures; TeleportOverlay; QuiverWarning; SpecialEffects; Boulder; VisitorHelper; PetCache; SecretsTracker; DungeonPlayerWidget; Kuudra; DojoManager; ForceTestHelper; StaminaTestHelper; MasteryTestHelper; SwiftnessTestHelper; ControlTestHelper; TenacityTestHelper; FancyStatusBars; BarPositioner; StatusBar; OnClick; StatusBarRenderer; StatusBarConfig; StatusBarsConfigScreen; EditBarWidget; EventNotifications; BeaconHighlighter; WarpAutocomplete; EggFinder; TimeTowerReminder; JerryTimer; TooltipManager; SlotTextManager; SlotTextAdder
forkassn3,de.hysky.skyblocker.config.datafixer,ConfigFix1,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
forkassn3,de.hysky.skyblocker.config.datafixer,ConfigFix1,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): ConfigDataFix
forkassn3,de.hysky.skyblocker.utils,InstancedUtilsTest.Vector3i,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: x; y; z
forkassn3,de.hysky.skyblocker.utils,InstancedUtilsTest.Vector3i,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
forkassn3,de.hysky.skyblocker.utils,ApiUtils,Cyclically-dependent Modularization,The tool detected the smell in this class because this class participates in a cyclic dependency. The participating classes in the cycle are: SnapshotDebug; RenderHelper; SkyblockerMod; ContainerSolverManager; ContainerSolver; UltrasequencerSolver; HelperConfig; Waypoint; NewYearCakesHelper; SkyblockerConfigManager; SkyblockerConfig; Utils; Http; ApiAuthentication; MuseumItemCache; ItemUtils; TooltipInfoType; ItemTooltip; GeneralConfig; CraftPriceTooltip; NEURepoManager; ItemRepository; ItemStackBuilder; SkyblockCraftingRecipe; ObtainedDateTooltip; StatusBarTracker; ConfigDataFixer; SkyblockerScreen; Tips; ProfileViewerScreen; ProfileViewerPage; SubPageSelectButton; ProfileViewerTextWidget; ProfileViewerUtils; ProfileViewerNavButton; ProfileUtils; ApiUtils; AccessoriesHelper; Waypoints; FairySouls; Relics; MythologicalRitual; EnderNodes; OrderedWaypoints; CustomArmorDyeColors; BackpackPreview; ItemRarityBackgrounds; ItemProtection; FarmingHud; FarmingHudWidget; LowerSensitivity; ChatMessageListener; Shortcuts; ChatRulesHandler; ChatRule; ChatRuleAnnouncementScreen; CalculatorCommand; Calculator; DiscordRPCManager; LividColor; DungeonsConfig; DungeonManager; Room; SecretWaypoint; DungeonEvents; DungeonMapUtils; Debug; DebugRoom; DungeonMap; DungeonScore; PlayerListMgr; FishingHelper; DungeonScoreHUD; Waterboard; PartyFinderScreen; PartyEntryListWidget; PartyEntry; FinderSettingsContainer; OptionDropdownWidget; RangedValueWidget; ChestValue; UIAndVisualsConfig; FireFreezeStaffTimer; GuardianHealth; TheRift; TheEnd; EndHudWidget; SearchOverManager; TitleContainer; ScreenMaster; ScreenBuilder; Widget; PlayerLocator; DungeonTextures; TeleportOverlay; QuiverWarning; SpecialEffects; Boulder; VisitorHelper; PetCache; SecretsTracker; DungeonPlayerWidget; Kuudra; DojoManager; ForceTestHelper; StaminaTestHelper; MasteryTestHelper; SwiftnessTestHelper; ControlTestHelper; TenacityTestHelper; FancyStatusBars; BarPositioner; StatusBar; OnClick; StatusBarRenderer; StatusBarConfig; StatusBarsConfigScreen; EditBarWidget; EventNotifications; BeaconHighlighter; WarpAutocomplete; EggFinder; TimeTowerReminder; JerryTimer; TooltipManager; SlotTextManager; SlotTextAdder
