Project Name,Package Name,Type Name,Method Name,LOC,CC,PC,Line no,IsTest,Main prod class tested,Production classes tested
forkassn3,de.hysky.skyblocker.config.datafixer,ConfigDataFixerTest,setupEnvironment,4,1,0,17,0,,
forkassn3,de.hysky.skyblocker.config.datafixer,ConfigDataFixerTest,testDataFixer1,5,1,0,23,1,,
forkassn3,de.hysky.skyblocker.config.datafixer,ConfigDataFixerTest,testDataFixer2QuickNav,5,1,0,33,1,,
forkassn3,de.hysky.skyblocker.config.datafixer,ConfigFix2QuickNav,ConfigFix2QuickNav,3,1,2,10,0,,
forkassn3,de.hysky.skyblocker.config.datafixer,ConfigFix2QuickNav,makeRule,3,1,0,14,0,,
forkassn3,de.hysky.skyblocker.config.datafixer,ConfigFix2QuickNav,fix,3,1,1,23,0,,
forkassn3,de.hysky.skyblocker.config.datafixer,ConfigFix2QuickNav,fixButton,3,1,1,35,0,,
forkassn3,de.hysky.skyblocker.config.datafixer,ConfigDataFix,ConfigDataFix,3,1,2,9,0,,
forkassn3,de.hysky.skyblocker.config.datafixer,ConfigDataFix,fixVersion,3,1,1,13,0,,
forkassn3,de.hysky.skyblocker.config.datafixer,ConfigSchema,ConfigSchema,3,1,2,11,0,,
forkassn3,de.hysky.skyblocker.config.datafixer,ConfigSchema,registerTypes,3,1,3,15,0,,
forkassn3,de.hysky.skyblocker.config.datafixer,ConfigSchema,registerEntities,3,1,1,20,0,,
forkassn3,de.hysky.skyblocker.config.datafixer,ConfigSchema,registerBlockEntities,3,1,1,25,0,,
forkassn3,de.hysky.skyblocker.config.datafixer,ConfigDataFixer,apply,3,1,0,28,0,de.hysky.skyblocker.config.datafixer.ConfigDataFixer,de.hysky.skyblocker.config.datafixer.ConfigDataFixer
forkassn3,de.hysky.skyblocker.config.datafixer,ConfigDataFixer,apply,10,4,2,32,0,de.hysky.skyblocker.config.datafixer.ConfigDataFixer,de.hysky.skyblocker.config.datafixer.ConfigDataFixer
forkassn3,de.hysky.skyblocker.config.datafixer,ConfigDataFixer,apply,3,1,1,49,0,de.hysky.skyblocker.config.datafixer.ConfigDataFixer,de.hysky.skyblocker.config.datafixer.ConfigDataFixer
forkassn3,de.hysky.skyblocker.config.datafixer,ConfigDataFixer,apply,7,1,2,53,0,de.hysky.skyblocker.config.datafixer.ConfigDataFixer,de.hysky.skyblocker.config.datafixer.ConfigDataFixer
forkassn3,de.hysky.skyblocker.config.datafixer,ConfigDataFixer,build,9,1,0,63,0,,
forkassn3,de.hysky.skyblocker.config.datafixer,ConfigDataFixer,loadConfig,9,1,1,75,0,,
forkassn3,de.hysky.skyblocker.config.datafixer,ConfigDataFixer,writeConfig,10,1,2,85,0,,
forkassn3,de.hysky.skyblocker.config.datafixer,ConfigFix1,ConfigFix1,3,1,2,16,0,,
forkassn3,de.hysky.skyblocker.config.datafixer,ConfigFix1,makeRule,3,1,0,20,0,,
forkassn3,de.hysky.skyblocker.config.datafixer,ConfigFix1,fix,3,1,1,29,0,,
forkassn3,de.hysky.skyblocker.config.datafixer,ConfigFix1,fixGeneral,3,1,1,33,0,,
forkassn3,de.hysky.skyblocker.config.datafixer,ConfigFix1,fixUIAndVisuals,4,1,1,37,0,,
forkassn3,de.hysky.skyblocker.config.datafixer,ConfigFix1,fixHelpers,4,1,1,76,0,,
forkassn3,de.hysky.skyblocker.config.datafixer,ConfigFix1,fixDungeons,5,1,1,93,0,,
forkassn3,de.hysky.skyblocker.config.datafixer,ConfigFix1,fixCrimsonIsle,3,1,1,134,0,,
forkassn3,de.hysky.skyblocker.config.datafixer,ConfigFix1,fixMining,4,1,1,138,0,,
forkassn3,de.hysky.skyblocker.config.datafixer,ConfigFix1,fixFarming,3,1,1,158,0,,
forkassn3,de.hysky.skyblocker.config.datafixer,ConfigFix1,fixOtherLocations,3,1,1,164,0,,
forkassn3,de.hysky.skyblocker.config.datafixer,ConfigFix1,fixSlayers,3,1,1,168,0,,
forkassn3,de.hysky.skyblocker.config.datafixer,ConfigFix1,fixChat,3,1,1,172,0,,
forkassn3,de.hysky.skyblocker.config.datafixer,ConfigFix1,fixQuickNav,3,1,1,176,0,,
forkassn3,de.hysky.skyblocker.config.datafixer,ConfigFix1,fixQuickNavButton,3,1,1,182,0,,
forkassn3,de.hysky.skyblocker.config.datafixer,ConfigFix1,fixNbt,14,2,2,189,0,,
forkassn3,de.hysky.skyblocker.config.datafixer,ConfigFix1,fixMisc,3,1,1,206,0,,
forkassn3,de.hysky.skyblocker.utils,RomanNumeralsTest,testToRoman,12,2,0,7,1,,
forkassn3,de.hysky.skyblocker.utils,RomanNumeralsTest,isValidRoman,12,1,0,22,1,,
forkassn3,de.hysky.skyblocker.utils,ConstantsTest,testPrefix,6,2,0,9,1,,
forkassn3,de.hysky.skyblocker.utils,CalculatorTest,testShorthands,6,1,0,7,1,,
forkassn3,de.hysky.skyblocker.utils,CalculatorTest,testPrecedence,5,1,0,15,1,,
forkassn3,de.hysky.skyblocker.utils,CalculatorTest,testImplicitMultiplication,3,1,0,22,1,,
forkassn3,de.hysky.skyblocker.utils,CalculatorTest,testImplicitClosingParenthesis,3,1,0,27,1,,
forkassn3,de.hysky.skyblocker.utils,InstancedUtilsTest,testSameInstanceEqual,4,1,0,8,1,,
forkassn3,de.hysky.skyblocker.utils,InstancedUtilsTest,testSameFieldValuesEqual,5,1,0,15,1,,
forkassn3,de.hysky.skyblocker.utils,InstancedUtilsTest,testDifferentFieldValuesEqual,5,1,0,23,1,,
forkassn3,de.hysky.skyblocker.utils,InstancedUtilsTest,testHashCodeOfEqualFieldValues,5,1,0,31,1,,
forkassn3,de.hysky.skyblocker.utils,InstancedUtilsTest,testHashCodeOfDifferentFieldValues,5,1,0,39,1,,
forkassn3,de.hysky.skyblocker.utils,InstancedUtilsTest,testToString,4,1,0,47,1,,
forkassn3,de.hysky.skyblocker.utils,PosUtilsTest,testParsePosString,3,1,0,10,1,,
forkassn3,de.hysky.skyblocker.utils,PosUtilsTest,testParsePosJson,3,1,0,15,1,,
forkassn3,de.hysky.skyblocker.utils,PosUtilsTest,testGetPosString,3,1,0,20,1,,
forkassn3,de.hysky.skyblocker.utils,ItemUtilsTest,setup,5,1,0,27,0,,
forkassn3,de.hysky.skyblocker.utils,ItemUtilsTest,testGetCustomData,5,1,0,34,1,,
forkassn3,de.hysky.skyblocker.utils,ItemUtilsTest,testGetItemId,5,1,0,41,1,,
forkassn3,de.hysky.skyblocker.utils,ItemUtilsTest,testGetItemUuid,5,1,0,48,1,,
forkassn3,de.hysky.skyblocker.utils,ItemUtilsTest,testGetTimestamp,6,1,0,55,1,,
