Project Name,Package Name,Type Name,Method Name,Test Smell,Cause of the Smell
forkassn3,de.hysky.skyblocker.utils,RomanNumeralsTest,testToRoman,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 7
forkassn3,de.hysky.skyblocker.utils,RomanNumeralsTest,isValidRoman,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 10
forkassn3,de.hysky.skyblocker.utils,ConstantsTest,testPrefix,Conditional test logic,The tool detected the smell in this test method because the test wraps the assert statements within control flow statements.
forkassn3,de.hysky.skyblocker.utils,CalculatorTest,testShorthands,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 4
forkassn3,de.hysky.skyblocker.utils,CalculatorTest,testPrecedence,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3
forkassn3,de.hysky.skyblocker.utils,ItemUtilsTest,testGetCustomData,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3
forkassn3,de.hysky.skyblocker.utils,ItemUtilsTest,testGetItemId,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3
forkassn3,de.hysky.skyblocker.utils,ItemUtilsTest,testGetItemUuid,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3
forkassn3,de.hysky.skyblocker.utils,ItemUtilsTest,testGetTimestamp,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 4
forkassn3,de.hysky.skyblocker.utils,ItemUtilsTest,testGetDurability,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3
forkassn3,de.hysky.skyblocker.utils.scheduler,SchedulerTest,testSchedule,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 31
forkassn3,de.hysky.skyblocker.utils.waypoint,WaypointTest,testDefaultConstructor,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 10
forkassn3,de.hysky.skyblocker.utils.waypoint,WaypointTest,testFound,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3
forkassn3,de.hysky.skyblocker.utils.waypoint,WaypointTest,testType,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3
forkassn3,de.hysky.skyblocker.utils.waypoint,ProfileAwareWaypointTest,testShouldRender,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3
forkassn3,de.hysky.skyblocker.utils.waypoint,ProfileAwareWaypointTest,testGetColorComponents,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 9
forkassn3,de.hysky.skyblocker.skyblock.filters,AdFilterTest,simpleAd,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
forkassn3,de.hysky.skyblocker.skyblock.filters,AdFilterTest,uppercaseAd,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
forkassn3,de.hysky.skyblocker.skyblock.filters,AdFilterTest,characterSpam,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
forkassn3,de.hysky.skyblocker.skyblock.filters,AdFilterTest,notAd,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
forkassn3,de.hysky.skyblocker.skyblock.dwarven,MetalDetectorTest,testFindPossibleBlocks,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 5
